state,participant,segment,duration_s,eda_mean,eda_std,eda_min,eda_max,eda_range,hr_mean,hr_std,hr_min,hr_max,hr_range,acc_mean,acc_std,bvp_mean,bvp_std,temp_mean,temp_std,ibi_mean,ibi_std,ibi_rmssd
STRESS,S04,2,96.0,1.0448616614583333,0.39599541562048096,0.492268,1.67119,1.178922,76.53760416666667,1.405199233198851,72.3,78.55,6.25,61.37355016601498,0.23665888132781093,0.012423502604166617,41.493330231263336,32.90520833333333,0.013148127771240645,0.6798007246376812,0.10342660073020545,0.055760224761394
STRESS,S04,3,374.0,1.005512155080214,0.29120880120551323,0.666588,1.669909,1.0033210000000001,58.37745989304813,7.196404421374956,48.62,76.67,28.050000000000004,61.67970341040705,0.25259836176608486,0.030307068850267325,29.85646922999231,33.0148128342246,0.08595386305018901,1.1056626773049645,0.1307515758560587,0.07783531702869395
STRESS,S04,4,137.0,1.5640702262773722,0.32995134465353937,0.643525,2.04039,1.396865,72.74167883211679,5.4735065382128205,63.22,80.25,17.03,61.77161059501934,0.225818736704061,-0.08615419708029196,15.546958955664175,32.70277372262773,0.06295323170809004,0.79296875,0.09190224326022502,0.05933502097231488
STRESS,S04,5,344.0,1.422988414244186,0.42942505796609215,0.931808,2.550642,1.6188339999999999,58.205406976744186,5.1501985012047635,51.48,68.2,16.720000000000006,61.52942332648685,0.22502322055526822,0.03583075944767446,29.285915794412116,32.6721511627907,0.10462846976179295,1.0828993055555556,0.12414636061393187,0.06732805403741532
STRESS,S04,6,32.0,1.5321819140625,0.22743502259594756,0.097642,1.812128,1.714486,62.2703125,1.0643879825250526,59.98,63.72,3.740000000000002,61.79846396174838,0.2015222192733056,-0.45466796874999993,49.56640916553807,32.699375,0.03344188055418008,,,
STRESS,S04,7,51.0,1.6765475490196078,0.07222998829001047,1.385471,1.863378,0.4779070000000001,63.36529411764705,0.5393800106119531,61.75,64.08,2.3299999999999983,61.498393346103036,0.09853048320956237,0.3050582107843139,34.67706400241367,32.641764705882345,0.017230374724559377,0.9920138888888889,0.0930309357978952,0.054433256410112846
STRESS,S04,8,32.0,1.9387108203125,0.1111203186031245,1.449733,2.126235,0.6765019999999999,58.4303125,1.711560845352496,56.47,61.58,5.109999999999999,61.69349730512315,0.20576678851599123,0.05969726562499991,41.06852077014944,32.640625,0.014986973510350757,0.7847222222222222,0.09709813509798308,0.1128088209233879
STRESS,S04,9,48.0,1.8464343802083334,0.08226682919980455,1.407451,2.132641,0.72519,59.88125,1.6730232427654237,56.63,61.73,5.099999999999994,61.54581165927622,0.11277290272425713,-0.15025390625000004,25.2891605156037,32.60833333333334,0.012133516482133634,0.9564393939393939,0.060424532830751033,0.059434078338683353
STRESS,S04,10,32.0,2.1847694609375,0.10887091497344331,1.940453,2.436298,0.49584499999999987,62.5778125,0.8427326621436659,61.17,63.58,2.4099999999999966,61.54081305178932,0.08253679580778119,0.13906250000000006,36.788314894718525,32.59437500000001,0.012975337182515772,0.8489583333333334,0.06267337065204719,0.06902862818150662
STRESS,S04,11,44.0,2.1449342840909087,0.11960071892907297,1.657296,2.487861,0.830565,63.04136363636363,0.5705443609120984,61.35,64.07,2.7199999999999918,61.658388625791325,0.27638976464225257,0.07284801136363656,40.61210140494081,32.54727272727273,0.03531440836282746,1.0120192307692308,0.10965860315343309,0.1251626545906033
STRESS,S05,0,183.0,10.922304135245902,1.5991570383195597,7.620719,13.889517,6.268797999999999,72.55142076502732,1.728119465931265,69.67,75.38,5.709999999999994,64.29622465113407,0.8674704880846352,0.27573343579234977,70.6628400877775,33.45371584699453,0.041611869368847865,0.8362563775510204,0.07543948060241093,0.04706255433588955
STRESS,S05,1,99.0,13.655269873737375,0.556619177432026,12.303872,14.756209,2.452337,75.37989898989899,2.622484170041869,69.8,78.85,9.049999999999997,63.280494304782486,0.4315406533609194,-0.784474431818182,58.484142393453695,33.456767676767676,0.026773584253785745,0.7672697368421053,0.05733034558530716,0.03740920929038922
